TitleBroadcast;max_licenseStartDate;max_licenseEndDate;I_Live;I_adult;I_kids;;Walging;Angst;Blij;Verdrietig;Boos
12 Years a Slave;2017-01-14 00:00:00.000;2018-01-13 00:00:00.000;1;0;0;;4;4;1;5;4
A Room With A View;2015-11-05 00:00:00.000;2022-11-04 00:00:00.000;1;0;0;;0;1;2;2;0
Alles is Familie;2015-04-21 00:00:00.000;2017-09-30 00:00:00.000;1;0;0;;0;0;4;1;0
American Hustle;2017-02-20 00:00:00.000;2018-02-19 00:00:00.000;1;0;0;;0;0;3;1;1
Bad Santa;2015-11-19 00:00:00.000;2017-10-31 00:00:00.000;1;0;0;;3;0;4;2;1
Blue Jasmine;2016-12-01 00:00:00.000;2017-06-01 00:00:00.000;1;0;0;;0;0;2;3;1
Boondock Saints;2015-02-21 00:00:00.000;2017-09-20 00:00:00.000;1;0;0;;2;3;4;2;0
Broken City;2015-08-02 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;1;2;2;1;1
Bro's Before Ho's;2016-05-10 00:00:00.000;2020-12-04 00:00:00.000;1;0;0;;1;0;4;1;1
Brothers;2013-10-01 00:00:00.000;2017-09-30 00:00:00.000;1;0;0;;2;3;2;4;1
Chalet Girl;2015-11-06 00:00:00.000;2017-10-22 00:00:00.000;1;0;0;;0;0;3;1;1
City of Men;2015-01-11 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;2;3;5;5;3
Cloud Atlas;2016-12-11 00:00:00.000;2017-12-08 00:00:00.000;1;0;0;;1;2;2;2;3
Colombiana;2015-08-13 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;1;3;3;3;2
Dallas Buyers Club;2016-12-01 00:00:00.000;2017-06-01 00:00:00.000;1;0;0;;2;2;3;4;4
De Marathon;2014-08-19 00:00:00.000;2019-10-18 00:00:00.000;1;0;0;;1;0;5;3;2
Defiance;2014-09-16 00:00:00.000;2017-09-28 00:00:00.000;1;0;0;;1;3;3;2;2
Drive;2016-10-16 00:00:00.000;2018-04-15 00:00:00.000;1;0;0;;2;4;3;3;3
End of Watch;2015-10-24 00:00:00.000;2017-10-01 00:00:00.000;1;0;0;;1;5;3;4;5
Escape Plan;2016-02-27 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;1;2;3;3;2
Flodder;2013-08-22 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;2;1;4;2;2
Gooische Vrouwen 2;2016-01-01 00:00:00.000;2020-12-31 00:00:00.000;1;0;0;;0;1;5;3;1
Hachi;2014-12-08 00:00:00.000;2017-10-29 00:00:00.000;1;0;0;;0;2;4;5;2
Hartenstraat;2016-11-01 00:00:00.000;2019-12-31 00:00:00.000;1;0;0;;0;1;4;2;1
Her;2017-03-06 00:00:00.000;2018-03-05 00:00:00.000;1;0;0;;0;2;4;4;2
He's Just Not That Into You;2013-03-15 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;1;1;3;1;1
Het Diner;2015-09-26 00:00:00.000;2020-12-31 00:00:00.000;1;0;0;;1;4;1;3;2
Homefront;2016-04-10 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;2;3;3;4;2
Hotel Rwanda;2015-02-08 00:00:00.000;2017-10-19 00:00:00.000;1;0;0;;4;4;2;5;4
How I Spent My Summer Vacation;2016-12-01 00:00:00.000;2018-03-12 00:00:00.000;1;0;0;;1;3;3;2;1
Hummingbird;2015-12-11 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;2;3;3;3;3
Incendies;2016-11-22 00:00:00.000;2018-05-21 00:00:00.000;1;0;0;;3;4;2;5;4
Infinitely Polar Bear;2016-12-30 00:00:00.000;2017-12-29 00:00:00.000;1;0;0;;1;1;4;4;3
Inside Llewyn Davis;2017-02-05 00:00:00.000;2018-02-04 00:00:00.000;1;0;0;;0;1;4;3;2
Interview;2014-07-07 00:00:00.000;2017-06-30 00:00:00.000;1;0;0;;2;3;3;2;2
Jackie;2014-04-16 00:00:00.000;2017-04-12 00:00:00.000;1;0;0;;0;2;3;3;1
John Wick;2016-12-25 00:00:00.000;2017-12-15 00:00:00.000;1;0;0;;1;2;3;2;2
Kill Bill;2017-02-11 00:00:00.000;2018-02-10 00:00:00.000;1;0;0;;3;3;3;2;2
Killing Them Softly;2015-05-20 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;1;3;3;2;2
Kung Fu Panda;2017-02-11 00:00:00.000;2017-05-10 00:00:00.000;1;0;0;;0;1;5;2;1
Last Vegas;2017-02-16 00:00:00.000;2018-02-15 00:00:00.000;1;0;0;;0;2;4;2;0
Law Abiding Citizen;2017-02-11 00:00:00.000;2018-02-10 00:00:00.000;1;0;0;;2;3;2;3;2
Lawless;2016-11-01 00:00:00.000;2018-01-28 00:00:00.000;1;0;0;;1;3;2;2;2
Leve Boerenliefde;2015-05-01 00:00:00.000;2027-01-30 00:00:00.000;1;0;0;;1;0;1;0;1
Limitless;2013-10-01 00:00:00.000;2017-09-30 00:00:00.000;1;0;0;;1;3;3;3;1
Loft;2013-08-01 00:00:00.000;2017-10-01 00:00:00.000;1;0;0;;1;3;2;1;1
Looper;2016-10-04 00:00:00.000;2017-10-03 00:00:00.000;1;0;0;;1;4;3;2;1
Mannenharten;2016-01-31 00:00:00.000;2023-01-30 00:00:00.000;1;0;0;;0;0;4;1;1
Moonrise Kingdom;2016-12-27 00:00:00.000;2017-12-26 00:00:00.000;1;0;0;;0;1;3;2;1
MUD;2017-02-13 00:00:00.000;2018-02-01 00:00:00.000;1;0;0;;1;4;3;3;2
New Kids Nitro;2014-07-05 00:00:00.000;2017-09-30 00:00:00.000;1;0;0;;3;2;3;2;2
Nova Zembla;2013-10-28 00:00:00.000;2018-11-23 00:00:00.000;1;0;0;;0;2;3;1;1
Oldboy;2015-12-29 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;4;4;3;4;2
Olympus Has Fallen;2016-09-30 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;1;3;2;2;1
On the Road;2016-11-07 00:00:00.000;2018-05-06 00:00:00.000;1;0;0;;1;2;3;3;2
Once Upon a Time in the West;2017-02-04 00:00:00.000;2017-05-03 00:00:00.000;1;0;0;;1;3;4;3;2
Oorlogswinter;2014-08-20 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;1;4;3;3;2
Pak Van Mijn Hart;2016-07-23 00:00:00.000;2020-12-31 00:00:00.000;1;0;0;;1;0;2;2;1
Parker;2017-02-18 00:00:00.000;2018-02-17 00:00:00.000;1;0;0;;1;3;3;3;2
Perfume: the Story of a Murder;2016-12-25 00:00:00.000;2017-12-24 00:00:00.000;1;0;0;;2;3;3;2;1
Playing for Keeps;2015-07-11 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;0;1;3;1;0
Rundskop;2015-06-02 00:00:00.000;2017-06-30 00:00:00.000;1;0;0;;3;4;3;4;2
Rush;2015-12-15 00:00:00.000;2017-10-01 00:00:00.000;1;0;0;;0;3;4;3;2
Safe Haven;2016-09-12 00:00:00.000;2017-09-30 00:00:00.000;1;0;0;;2;0;1;0;1
Scary Movie;2016-11-29 00:00:00.000;2017-11-28 00:00:00.000;1;0;0;;3;2;2;0;1
Schone Handen;2017-03-04 00:00:00.000;2017-11-28 00:00:00.000;1;0;0;;1;3;2;2;2
Seven Psychopaths;2015-12-31 00:00:00.000;2017-07-31 00:00:00.000;1;0;0;;1;2;3;2;1
Shame;2016-11-12 00:00:00.000;2018-05-11 00:00:00.000;1;0;0;;5;3;0;3;4
Short Term 12;2016-02-06 00:00:00.000;2018-02-01 00:00:00.000;1;0;0;;2;4;3;5;3
Side Effects;2015-11-26 00:00:00.000;2017-10-01 00:00:00.000;1;0;0;;1;3;2;3;2
Sin City;2017-03-04 00:00:00.000;2018-03-03 00:00:00.000;1;0;0;;2;3;3;1;1
Slumdog Millionaire;2016-11-20 00:00:00.000;2018-05-19 00:00:00.000;1;0;0;;1;3;5;3;2
Snitch;2015-11-06 00:00:00.000;2017-10-01 00:00:00.000;1;0;0;;1;2;3;2;1
Soof;2016-12-01 00:00:00.000;2017-06-01 00:00:00.000;1;0;0;;0;0;5;2;0
Stand Up Guys;2016-01-23 00:00:00.000;2017-10-01 00:00:00.000;1;0;0;;1;2;3;2;2
Süskind;2013-12-05 00:00:00.000;2017-10-01 00:00:00.000;1;0;0;;2;4;1;4;3
Taken;2017-02-25 00:00:00.000;2018-02-24 00:00:00.000;1;0;0;;1;4;1;2;3
The Age Of Adaline;2017-01-01 00:00:00.000;2017-06-30 00:00:00.000;1;0;0;;0;2;3;3;1
The Book of Eli;2013-06-01 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;0;4;2;2;1
The Butler;2016-10-08 00:00:00.000;2017-10-07 00:00:00.000;1;0;0;;0;2;3;2;1
The Double;2015-01-16 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;0;2;2;1;2
The Expendables;2013-08-01 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;1;3;4;1;0
The Expendables 2;2016-04-29 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;1;3;4;1;0
The Family Man;2016-11-27 00:00:00.000;2017-11-26 00:00:00.000;1;0;0;;0;1;4;1;0
The Godfather;2017-02-24 00:00:00.000;2017-05-23 00:00:00.000;1;0;0;;2;4;4;3;3
The Grey;2015-12-17 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;2;4;2;2;2
The Hunger Games;2016-12-09 00:00:00.000;2017-12-08 00:00:00.000;1;0;0;;2;3;3;3;2
The Ides of March;2013-10-28 00:00:00.000;2017-10-01 00:00:00.000;1;0;0;;2;4;3;3;3
The King's Speech;2016-12-01 00:00:00.000;2018-02-05 00:00:00.000;1;0;0;;1;3;3;3;3
The Next Three Days;2017-03-12 00:00:00.000;2018-03-11 00:00:00.000;1;0;0;;1;4;3;4;3
The Perks of Being a Wallflower;2016-05-05 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;3;3;3;5;5
The Place Beyond the Pines;2015-11-13 00:00:00.000;2017-10-01 00:00:00.000;1;0;0;;1;3;3;3;2
The Rainmaker;2017-03-05 00:00:00.000;2017-06-04 00:00:00.000;1;0;0;;1;4;3;3;2
The Rebound;2017-01-29 00:00:00.000;2018-01-28 00:00:00.000;1;0;0;;0;0;4;1;0
The Switch;2016-05-19 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;2;0;3;0;1
The Wolf of Wall Street;2016-03-30 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;4;3;4;4;5
The Words;2015-06-16 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;2;1;3;4;3
Tirza;2013-08-01 00:00:00.000;2017-10-01 00:00:00.000;1;0;0;;2;4;2;4;3
Vicky Cristina Barcelona;2016-10-24 00:00:00.000;2018-04-23 00:00:00.000;1;0;0;;1;2;5;2;1
Zero Dark Thirty;2015-08-06 00:00:00.000;2017-09-30 00:00:00.000;1;0;0;;1;5;2;2;2
